,,avg down time per resource,aircraft,total down time,registration number,downs,total tail down time,avg tail down time,downed,upped,duration,downed reason,squawk,comments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,W30 1180,1,58293:10:00,58293:10:00,9/13/2018 13:15,,58293:10:00,Squawk,,aircraft sold
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,2/23/2024 11:53,2/23/2024 12:12,0:19,downed by ETA,Other,Paint damage
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,2/29/2024 15:17,2/29/2024 16:43,1:26,downed by ETA,Other,Excessive shaking during taxi
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,3/15/2024 14:55,3/15/2024 16:23,1:28,Squawk,,Oil dipstick broke off
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,3/11/2024 14:35,3/12/2024 14:12,23:37,Inspection,,50 Hour Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,2/19/2024 11:54,2/20/2024 8:02,20:08,downed by ETA,50 Hr Inspect,Time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,3/11/2024 14:35,3/11/2024 17:24,2:49,downed by ETA,50 Hr Inspect,down for hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,4/6/2024 8:35,4/8/2024 15:47,55:12:00,Squawk,,Boost Pump
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,1/21/2024 17:33,1/24/2024 17:32,71:59:00,downed by ETA,50 Hr Inspect,down for time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,2/24/2024 13:22,2/26/2024 9:24,44:02:00,downed by ETA,Engine,High CHT
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,5/8/2024 10:04,5/10/2024 18:40,56:36:00,downed by ETA,50 Hr Inspect,Time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,5/15/2024 18:21,5/17/2024 9:25,39:04:00,downed by ETA,Propeller,prop overspeed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,7/15/2024 19:54,7/16/2024 8:14,12:20,downed by ETA,Other,"right door spring, wont latch"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,7/19/2024 15:04,7/24/2024 16:20,121:16:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,8/14/2024 16:34,8/16/2024 14:50,46:16:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,6/21/2024 13:23,6/27/2024 10:29,141:06:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,4/10/2024 12:13,4/12/2024 11:47,47:34:00,downed by ETA,50 Hr Inspect,down for time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,5/18/2024 9:39,5/18/2024 12:04,2:25,Squawk,Other,nose wheel issue
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,5/30/2024 13:28,6/3/2024 14:52,97:24:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,9/25/2024 21:34,9/26/2024 8:39,11:05,downed by ETA,Airframe,Position light out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,9/10/2024 12:41,9/12/2024 7:49,43:08:00,downed by ETA,50 Hr Inspect,Time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,10/21/2024 11:18,10/21/2024 12:30,1:12,Squawk,Engine,mag check fail
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,11/9/2024 16:52,11/14/2024 13:24,116:32:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,11/14/2024 13:24,11/27/2024 11:12,309:48:00,Squawk,,Refinish LH wing
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,9/4/2024 6:27,9/4/2024 10:53,4:26,Squawk,,nlg fairing rub
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,8/26/2024 16:14,8/26/2024 19:03,2:49,downed by ETA,Engine,Bad sputter. psi down to 15
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,9/17/2024 17:32,9/18/2024 11:22,17:50,downed by ETA,Engine,cht up to 500
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU31 N1281,31,2183:49:00,70:27:00,9/18/2024 22:14,9/19/2024 18:46,20:32,downed by ETA,Avionics,electrical failure
